codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1306444  / Castilla,1100000.0,centro,castilla,ceramica,1.0,95.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,0.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1306376  / El Salvador,950000.0,centro,el salvador,ceramica,1.0,70.0,medellin zona 1 - centro,1.0,semi-integral,0.0,2.0,3.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1306287  / Los Angeles,970000.0,centro,los angeles,ceramica,1.0,38.0,medellin zona 1 - centro,1.0,semi-integral,0.0,1.0,4.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1306212  / Prado,1400000.0,centro,prado,ceramica,1.0,50.0,medellin zona 1 - centro,1.0,integral,1.0,2.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Código 1306007  / 12 de Octubre,800000.0,centro,12 de octubre,ceramica,1.0,92.0,medellin zona 1 - centro,1.0,integralcon alacenas,0.0,3.0,2.0,92.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305953  / Boston,1200000.0,centro,boston,ceramica,2.0,55.0,medellin zona 1 - centro,1.0,integralalacenas,0.0,3.0,3.0,55.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Código 1305951  / Manrique,1150000.0,centro,manrique,baldosa comun,2.0,60.0,medellin zona 1 - centro,1.0,semi-integral,0.0,3.0,3.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305761  / San Pablo,1060000.0,centro,san pablo,ceramica,1.0,40.0,medellin zona 1 - centro,1.0,integral,0.0,2.0,3.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305732  / Villa Hermosa,750000.0,centro,villa hermosa,ceramica,1.0,20.0,medellin zona 1 - centro,1.0,integral,0.0,1.0,3.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305720  / Buenos Aires,950000.0,centro,buenos aires,ceramica,1.0,35.0,medellin zona 1 - centro,1.0,integral,0.0,2.0,3.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
