,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
0,Código 1305921  / Barichara,"EN ARRIENDO $1,100,000",Apartamento en Arriendo Barichara San Antonio de Prado,Barichara,Ceramica,1,33 M2. aproximadamente,San Antonio de Prado,1,Integral,1 (),,2,3,33 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,Código 1305587  / San Antonio de Prado,"EN ARRIENDO $800,000",Apartamento en Arriendo San Antonio de Prado San Antonio de Prado,San Antonio de Prado,Ceramica,2,65 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),Solarium,3,3,65 M2.,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0
2,Código 1305411  / Aragon,"EN ARRIENDO $950,000",Apartamento en Arriendo Aragon San Antonio de Prado,Aragon,Ceramica,2,58 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,58 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Código 1305175  / BARICHARA,"EN ARRIENDO $1,000,000",Apartamento en Arriendo BARICHARA  San Antonio de Prado,BARICHARA,Ceramica,1,40 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,40 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Código 1305082  / barichara,"EN ARRIENDO $900,000",Apartamento en Arriendo barichara San Antonio de Prado,barichara,Ceramica,1,50 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,50 M2.,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
5,Código 1291928  / San Antonio de Prado,"EN ARRIENDO $1,150,000",Apartamento en Arriendo San Antonio de Prado San Antonio de Prado,San Antonio de Prado,Ceramica,1,45 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,45 M2.,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
6,Código 1304387  / PRADITO,"EN ARRIENDO $1,300,000",Apartamento en Arriendo PRADITO San Antonio de Prado,PRADITO,Ceramica,2,60 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,60 M2.,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Código 1304289  / Villas Del Bosque,"EN ARRIENDO $1,300,000",Apartamento en Arriendo Villas Del Bosque San Antonio de Prado,Villas Del Bosque,Ceramica,2,52 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,"3
                                    Con closet",0,52 M2.,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
8,Código 1304188  / villa loma,"EN ARRIENDO $980,000",Apartamento en Arriendo villa loma San Antonio de Prado,villa loma,Ceramica,2,45 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,45 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
9,Código 1304113  / Prados Del Sol,"EN ARRIENDO $1,050,000",Apartamento en Arriendo Prados Del Sol San Antonio de Prado,Prados Del Sol,Ceramica,"1
                                    Cabinado",55 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,55 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Código 1304102  / BARICHARA,"EN ARRIENDO $1,400,000",Apartamento en Arriendo BARICHARA San Antonio de Prado,BARICHARA,Ceramica,2,60 M2. aproximadamente,San Antonio de Prado,2,Semi-Integral,0 (),,3,0,60 M2.,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
11,Código 1303978  / parque,"EN ARRIENDO $900,000",Apartamento en Arriendo parque  San Antonio de Prado,parque,Ceramica,1,30 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,1,0,30 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Código 1303931  / Ciudadela Villa del Bosque,"EN ARRIENDO $1,150,000",Apartamento en Arriendo Ciudadela Villa del Bosque  San Antonio de Prado,Ciudadela Villa del Bosque,Ceramica,2,52 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,52 M2.,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
13,Código 1303795  / PRADITO,"EN ARRIENDO $1,000,000",Apartamento en Arriendo PRADITO San Antonio de Prado,PRADITO,Ceramica,1,50 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,50 M2.,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14,Código 1303379  / VIA EL VERGEL,"EN ARRIENDO $1,150,000",Apartamento en Arriendo VIA EL VERGEL San Antonio de Prado,VIA EL VERGEL,Ceramica,2,52 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,52 M2.,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Código 1303179  / El Vergel,"EN ARRIENDO $1,500,000",Apartamento en Arriendo El Vergel San Antonio de Prado,El Vergel,Ceramica,2,60 M2. aproximadamente,San Antonio de Prado,1,Integral,1 (),,3,0,60 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0
16,Código 1302937  / BARICHARA,"EN ARRIENDO $1,400,000",Apartamento en Arriendo BARICHARA San Antonio de Prado,BARICHARA,Ceramica,2,150 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,3,3,150 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Código 1302728  / El Vergel,"EN ARRIENDO $1,100,000",Apartamento en Arriendo El Vergel San Antonio de Prado,El Vergel,Porcelanato,1,54 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,0,54 M2.,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
18,Código 1302531  / Villa loma,"EN ARRIENDO $900,000",Apartamento en Arriendo Villa loma San Antonio de Prado,Villa loma,Ceramica,1,42 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,42 M2.,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
19,Código 1302010  / El Vergel,"EN ARRIENDO $1,150,000",Apartamento en Arriendo El Vergel San Antonio de Prado,El Vergel,Ceramica,2,62 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,62 M2.,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
20,Código 1302000  / El Vergel,"EN ARRIENDO $1,250,000",Apartamento en Arriendo El Vergel San Antonio de Prado,El Vergel,Ceramica,2,62 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,62 M2.,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
