codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1339019  / Belén La Palma,"EN ARRIENDO $1,100,000",Apartamento en Arriendo Belén La Palma Medellin ,Belén La Palma,Ceramica,1,40 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,1,4,40 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1339018  / Cristorey,"EN ARRIENDO $2,000,000",Apartamento en Arriendo Cristorey Medellin ,Cristorey,Ceramica,1,110 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (Ante Jardin),"Especial para bodega o empresa. Ubicada a solo 4 cuadras del Parque Cristo Rey y la Avenida Guayabal.

También se habilitó la opción de vivienda.",4,3,110 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1339014  / Guayabal,"EN ARRIENDO $2,500,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Baldosa comun,2,100 M2. aproximadamente,Medellin Zona 4 - Belen,1,Sencilla,0 (),,6,3,100 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1339011  / Alameda,"EN ARRIENDO $1,000,000",Apartamento en Arriendo Alameda Medellin ,Alameda,Ceramica,1,35 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,1,5,35 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Código 1339002  / Belén La Palma,"EN ARRIENDO $800,000",Apartamento en Arriendo Belén La Palma Medellin ,Belén La Palma,Ceramica,1,25 M2. aproximadamente,Medellin Zona 4 - Belen,1,Sencilla,0 (),,1,5,25 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1339001  / Belén La Palma,"EN ARRIENDO $800,000",Apartamento en Arriendo Belén La Palma Medellin ,Belén La Palma,Baldosa comun,1,25 M2. aproximadamente,Medellin Zona 4 - Belen,1,Sencilla,0 (),,1,5,25 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1339000  / Guayabal,"EN ARRIENDO $1,200,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,1,56 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,0 (),,2,3,56 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1338999  / Belén La Palma,"EN ARRIENDO $800,000",Apartamento en Arriendo Belén La Palma Medellin ,Belén La Palma,Ceramica,1,25 M2. aproximadamente,Medellin Zona 4 - Belen,1,Sencilla,0 (),,1,5,25 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1338998  / Belén La Palma,"EN ARRIENDO $800,000",Apartamento en Arriendo Belén La Palma Medellin ,Belén La Palma,Ceramica,1,25 M2. aproximadamente,Medellin Zona 4 - Belen,1,Sencilla,0 (),,1,5,25 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1338981  / Belén Los Alpes,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Belén Los Alpes Medellin ,Belén Los Alpes,Ceramica,1,75 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,2,4,75 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1338951  / Belén San Bernardo,"EN ARRIENDO $1,100,000",Apartamento en Arriendo Belén San Bernardo Medellin ,Belén San Bernardo,Ceramica,1,55 M2. aproximadamente,Medellin Zona 4 - Belen,3,Semi-Integral,0 (),,2,3,55 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Código 1338939  / Belén Rincón,"EN ARRIENDO $900,000",Apartamento en Arriendo Belén Rincón Medellin ,Belén Rincón,Ceramica,1,60 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,0 (),"Arrendamos este apartamento en belen rincon con un area de 60 mts2, cuenta con sala comedor, 2 alcobas, 1 closet, cocina semi integral con red de gas, 1 baño cabinado, balcon, zona de ropas, piso en ceramica
https://www.inmobiliariatrianon.com/inmueble/3412",2,2,60 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1338927  / Belen Parque,"EN ARRIENDO $1,600,000",Apartamento en Arriendo Belen Parque Medellin ,Belen Parque,Ceramica,2,78 M2. aproximadamente,Medellin Zona 4 - Belen,4,Integral,0 (),,3,3,78 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1338915  / Rodeo Alto,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Rodeo Alto Medellin ,Rodeo Alto,Ceramica,2,65 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,3,3,65 M2.,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0
Código 1338902  / Rodeo Alto,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Rodeo Alto Medellin ,Rodeo Alto,Ceramica,2,55 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,1 (),,3,3,55 M2.,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
