R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,activation,batch_size,hidden_layer_sizes,max_iter,diff
-2.395907078298841,-2.412760067981421,3779915.2551087844,3888853.527589234,0.999924330219052,0.9999259255522895,logistic,auto,20,800,0.016852989682579977
-2.395853763157563,-2.412707935493319,3779885.582991411,3888823.8248881274,0.9999069648266303,0.9999089256284311,tanh,auto,20,800,0.016854172335755813
-2.395504784064104,-2.4123666975483444,3779691.35570313,3888629.397552229,0.9997932952836408,0.9997976524923012,logistic,auto,50,800,0.016861913484240265
-2.395454489548498,-2.412317518484082,3779663.363039019,3888601.3759676474,0.9997769120142004,0.9997816132624473,tanh,auto,50,800,0.016863028935584
-2.3951148891218623,-2.411985450566963,3779474.344545211,3888412.1627468653,0.9996662883590431,0.9996733229971054,logistic,auto,80,800,0.016870561445100574
-2.3950561919209385,-2.411928054909563,3779441.673261456,3888379.457608739,0.9996471663280284,0.9996546018007186,tanh,auto,80,800,0.016871862988624642
-2.3948134730770674,-2.411690719264338,3779306.571210451,3888244.216319698,0.9995680957212987,0.9995771993890586,logistic,auto,100,800,0.0168772461872706
-2.3947919821846932,-2.411669704608782,3779294.6087270984,3888232.241283642,0.9995610938639068,0.9995703427140512,tanh,auto,100,800,0.01687772242408858
-2.1097636453647075,-2.1337729826712946,3617161.128839686,3726511.567282349,0.9423573527375609,0.943233520317624,relu,auto,20,800,0.024009337306587053
-1.8900351505975737,-1.9189612394592381,3487030.343520492,3596523.2457574694,0.8959489946837349,0.8975304148948325,identity,auto,20,800,0.02892608886166448
-1.6831234804609787,-1.7161563257895924,3359885.6274393513,3469333.809887228,0.8503075070423786,0.8525821581819281,relu,auto,50,800,0.033032845328613725
-1.5098868442655018,-1.5459081198665783,3249609.9449207974,3358845.8331601857,0.8104493496785616,0.8132560563101084,relu,auto,80,800,0.036021275601076486
-1.2439273789627738,-1.283609739835223,3072617.9465152654,3181117.0615157033,0.7460252555526045,0.749452292329413,identity,auto,50,800,0.03968236087244925
-1.1742429638366425,-1.2146733922428004,3024532.118002841,3132734.2238147054,0.7283393993291575,0.7319381168956178,relu,auto,100,800,0.04043042840615785
-0.4409389078390258,-0.48161165426939556,2462220.530164277,2562334.950027028,0.518314809132411,0.5257812742919068,identity,auto,100,800,0.04067274643036978
-0.7247696308722718,-0.7673275978870486,2693827.0675746296,2798512.4108828423,0.6049264233339611,0.6099227741403095,identity,auto,80,800,0.042557967014776876
