param_eta,param_learning_rate,param_max_depth,param_n_estimators,param_objective,param_subsample,mean_test_score,std_test_score,mean_train_score,std_train_score
0.05,0.03,9,120,reg:squarederror,0.2,0.6061726791954457,0.031883851591753824,0.7859872207151687,0.006268032362959232
0.01,0.03,9,120,reg:squarederror,0.2,0.6061726791954457,0.031883851591753824,0.7859872207151687,0.006268032362959232
0.01,0.03,9,120,reg:squarederror,0.2,0.6061726791954457,0.031883851591753824,0.7859872207151687,0.006268032362959232
0.07,0.03,9,120,reg:squarederror,0.2,0.6061726791954457,0.031883851591753824,0.7859872207151687,0.006268032362959232
0.07,0.03,9,120,reg:squarederror,0.2,0.6061726791954457,0.031883851591753824,0.7859872207151687,0.006268032362959232
0.05,0.03,9,120,reg:squarederror,0.2,0.6061726791954457,0.031883851591753824,0.7859872207151687,0.006268032362959232
0.07,0.03,11,120,reg:squarederror,0.2,0.6059810205556125,0.031878120428751745,0.7883862656605192,0.006717812697389155
0.07,0.03,11,120,reg:squarederror,0.2,0.6059810205556125,0.031878120428751745,0.7883862656605192,0.006717812697389155
0.05,0.03,11,120,reg:squarederror,0.2,0.6059810205556125,0.031878120428751745,0.7883862656605192,0.006717812697389155
0.01,0.03,11,120,reg:squarederror,0.2,0.6059810205556125,0.031878120428751745,0.7883862656605192,0.006717812697389155
0.01,0.03,11,120,reg:squarederror,0.2,0.6059810205556125,0.031878120428751745,0.7883862656605192,0.006717812697389155
0.05,0.03,11,120,reg:squarederror,0.2,0.6059810205556125,0.031878120428751745,0.7883862656605192,0.006717812697389155
0.07,0.03,10,120,reg:squarederror,0.2,0.6053317992043644,0.03309486064527433,0.7876185337126043,0.005592325686068694
0.07,0.03,10,120,reg:squarederror,0.2,0.6053317992043644,0.03309486064527433,0.7876185337126043,0.005592325686068694
0.05,0.03,10,120,reg:squarederror,0.2,0.6053317992043644,0.03309486064527433,0.7876185337126043,0.005592325686068694
0.05,0.03,10,120,reg:squarederror,0.2,0.6053317992043644,0.03309486064527433,0.7876185337126043,0.005592325686068694
0.01,0.03,10,120,reg:squarederror,0.2,0.6053317992043644,0.03309486064527433,0.7876185337126043,0.005592325686068694
0.01,0.03,10,120,reg:squarederror,0.2,0.6053317992043644,0.03309486064527433,0.7876185337126043,0.005592325686068694
0.01,0.03,9,100,reg:squarederror,0.2,0.5833664960429544,0.03018236024082302,0.7488487257395897,0.005482515596315283
0.01,0.03,9,100,reg:squarederror,0.2,0.5833664960429544,0.03018236024082302,0.7488487257395897,0.005482515596315283
0.05,0.03,9,100,reg:squarederror,0.2,0.5833664960429544,0.03018236024082302,0.7488487257395897,0.005482515596315283
0.05,0.03,9,100,reg:squarederror,0.2,0.5833664960429544,0.03018236024082302,0.7488487257395897,0.005482515596315283
0.07,0.03,9,100,reg:squarederror,0.2,0.5833664960429544,0.03018236024082302,0.7488487257395897,0.005482515596315283
0.07,0.03,9,100,reg:squarederror,0.2,0.5833664960429544,0.03018236024082302,0.7488487257395897,0.005482515596315283
0.07,0.03,10,100,reg:squarederror,0.2,0.582275181725558,0.03298982179401198,0.7494426723667038,0.005295744625041965
0.01,0.03,10,100,reg:squarederror,0.2,0.582275181725558,0.03298982179401198,0.7494426723667038,0.005295744625041965
0.01,0.03,10,100,reg:squarederror,0.2,0.582275181725558,0.03298982179401198,0.7494426723667038,0.005295744625041965
0.07,0.03,10,100,reg:squarederror,0.2,0.582275181725558,0.03298982179401198,0.7494426723667038,0.005295744625041965
0.05,0.03,10,100,reg:squarederror,0.2,0.582275181725558,0.03298982179401198,0.7494426723667038,0.005295744625041965
0.05,0.03,10,100,reg:squarederror,0.2,0.582275181725558,0.03298982179401198,0.7494426723667038,0.005295744625041965
0.01,0.03,11,100,reg:squarederror,0.2,0.5815390393452069,0.03152907999159469,0.7501874475766517,0.006022603518566451
0.05,0.03,11,100,reg:squarederror,0.2,0.5815390393452069,0.03152907999159469,0.7501874475766517,0.006022603518566451
0.07,0.03,11,100,reg:squarederror,0.2,0.5815390393452069,0.03152907999159469,0.7501874475766517,0.006022603518566451
0.07,0.03,11,100,reg:squarederror,0.2,0.5815390393452069,0.03152907999159469,0.7501874475766517,0.006022603518566451
0.05,0.03,11,100,reg:squarederror,0.2,0.5815390393452069,0.03152907999159469,0.7501874475766517,0.006022603518566451
0.01,0.03,11,100,reg:squarederror,0.2,0.5815390393452069,0.03152907999159469,0.7501874475766517,0.006022603518566451
