original;format
nan;otro
integral;integral
semi-integral;semiintegral
integralcon alacenas;integral
integralalacenas;integral
sencilla;sencilla
semi-integralcon red de gas;semiintegral
sencillacon gabinetes;sencilla
sencillared de gas;sencilla
integralcon red de gas;integral
integralgas natural;integral
integralred de gas;integral
sencillagas propano;sencilla
no aplica;otro
sencillasin red de gas;sencilla
integralred gas;integral
integralabierta con mesón en mármol;integralabierta
integralabierta;integral
integralcon barra;integral
integralcocina integral independiente con  campana extractora;integral
integralcocina integral con barra americana que se integra con la zona social del inmueble.  horno, campana extractora & acabados en madera.;integral
integralcocina en isla y barra americana que conecta al área social del apartamento;integral
integralabierta con meson en quarztone;integralabierta
integralincluye lavaplatos y horno;integral
integralabierta con meson en quartzone;integralabierta
semi-integralabierta con meson en acero inoxidable;integralabierta
integralen marmol;integral
integralabierta com mesón en quarztone;integralabierta
integraltipo americano con isala;integral
integralabierta con mesón en quarztone;integralabierta
integralcocina integral abierta y comedor juntos con balcon;integral
integralabierta tipo americano;integralabierta
0;otro
integral-mixta;mixta
integralocina integral concepto abierto que comunica a la zona social y al balcón además cuenta con campaña extractora y horno eléctrico.;integral
mixta;mixta
integralcocina integral con campana extractora y barra americana que conecta a la zona social del inmueble.;integral
integralcocina integral independiente con campana extractora, horno, microondas y lavaplatos eléctrico;integral
integral moderna, con barra americana que conecta al área social del inmueble. horno y campana extractora.;integral
integralabierta, tipo americano;integralabierta
integralcon barra americana que conecta al área social, completamente equipada.;integral
integralcocina cerrada, integral;integral
integralabierta con barra americana;integralabierta
integralabierta tipo amerciano;integralabierta
integraltipo americano;integral
integralcerrada con meson en acero inoxidable.;integral
integraltipo americana;integral
integral americana;integral
integral cerrada;integral
integraly mixta;integral
integralcocina italiana con barra americana integrada al área social.;integral
integral amiricana;integral
integralamericana;integral
integral abierta;integral
integralcon despensa y comedor auxiliar.;integral
integral0;integral
integralcocina moderna, amplia y con buena iluminación,;integral
integralabierta con barra auxiliar;integralabierta
integralcon gas natural;integral
integralcon barra americana;integral
integralpipeta;integral
integralcon pipeta;integral
semi-integralpipeta;semiintegral
integralgas de pipeta;integral
sin cocina;otro
integralnueva;integral
integralcompletamente dotado con horno;integral
integralcompletamente dotado y con horno;integral
integraltipo isla con barra;integral
integralcon lavaplatos electrico;integral
integralabierta con isla;integral
integralcocineta;integral
semi integral;semiintegral
integralcocina integral abierta con barra;integral
integralabierta con mesón en acero inoxidable;integral
