original;format
ceramica;ceramica
baldosa comun;baldosa
granito;granito
porcelanatobaldosa de gres en la terraza;otro
ceramicay baldosa;ceramica
retal de marmol;marmol
otros;otro
porcelanato;porcelanato
madera laminada;madera
ceramicapiso de madera en la habitaciones;ceramicamadera 
marmol;marmol
cerámica y madera laminada;ceramicamadera 
ceramicamadera;ceramicamadera
madera retal de marmol;madera 
ceramica y maderamadera en las habitaciones;ceramicamadera 
madera;madera
ceramica- madrera laminada;ceramicamadera 
madera laminada y ceramica;ceramicamadera
maderaporcelanato;porcelanamadera
mármol y madera laminada;marmolmadera
ceramicamadera laminada;ceramicamadera
marmol y maderahabitaciones en madera;marmolmadera
porcelanatoen habitaciones.;porcelanato
marmolmarmol y ceramica;marmolceramica
porcelanatoen la zona social y madera laminada en las alcobas;porcelanatomadera
porcelanato y madera laminadahabitaciones en madera laminada;porcelanatomadera
marmolalcobas en madera laminada;marmolmadera
maderay ceramica;ceramicamadera
ceramicay madera laminada en las habitaciones.;ceramicamadera
madera laminaday ceramica;ceramicamadera
porcelanatoen la zona social y en las alcobas madera laminada;porcelanatomadera
marmolmadera;marmolmadera
ceramicaporcelanato;ceramicaporcelanato
maderaceramica;ceramicamadera
madera laminada y porcelanato;porcelanatomadera
porcelanato y maderamadera en las habitaciones;porcelanatomadera
ceramicaalcobas en parquet;ceramica
madera laminadaceramica;madera
madera-porcelanato;porcelanatomadera
madera laminada- porcelana;porcelanamadera
marmol madera;marmolmadera
ceramicay madera;ceramicamadera
ceramicay alcobas madera;
ceramica y madera laminada;
tapete;otro
maderaalcobas ceramica;ceramicamadera
porcelanatomadera laminada.;porcelanatomadera
madera laminadamarmol;madera
marmol y madera;marmolmadera
ceramicapiso en ceramica y madera;ceramicamadera
baldosa;baldosa
maderay marmolizado;marmolmadera
ceramica - madera laminada;ceramicamadera
otrospvc;otro
ceramicamadera en el segudo nivel;ceramicamadera
ceramicay marmolizado;marmolceramica
ceramicapiso laminado en alcobas;ceramica
maderamarmol;marmolmadera
ceramica-madera laminada;ceramicamadera
ceramicaporcelenato;ceramicaporcelanato
ceramicaalcobas en madera laminada;ceramicamadera
ceramicapisos alcobas madera laminada;ceramicamadera
ceramica-marmol;marmolceramica
marmolmadera laminada;marmolmadera
marmol/madera;marmolmadera
ceramica- madera laminada;ceramicamadera
porcelanato y madera laminada;porcelanatomadera
marmolpiso en  madera y gran parte del inmueble entapetado.;marmolmadera
madera laminada-marmol;marmolmadera
marmoly madera;marmolmadera
retal de marmoly cerámica;marmolceramica
vinilo;otro
marmolparquet en alcoba;marmol
otroslaminado pvc;otro
marmolmadera en alcobas;marmolmadera
marmol - madera;marmolmadera
porcelanatomadera las habitaciones;porcelanatomadera
otroslaminado;otro
ceramicahabitacione sy biblioteca en piso de madera.;ceramicamadera
ceramicatambien pisos en madera;ceramicamadera
porcelanato y madera;porcelanatomadera
ceramicamarmol;marmolceramica
tapetemadera;tapetemadera
marmol y madera laminada;marmolmadera
microcemento;otro
porcelanatomadera laminada;porcelanatomadera
marmolpiso en madera y marmol;marmolmadera
ceramicaalcobas en madera;ceramicamadera
ceramica0;ceramica
porcelanatoy madera;porcelanatomadera
ceramica y madera;ceramicamadera
maderapisos en madera laminada color beis;madera
porcelanatomaqdera laminada;porcelanatomadera
porcelanatolaminado de madera;porcelanatomadera
ceramicagranito pulido;ceramicagranito
ceramicagas por pipeta;ceramica
ceramicapiso en retal de marmol;ceramica
ceramicanuevos;ceramica
marmollaminado en madera en alcobas,;marmolmadera
otrosconcreto;otro
ceramicamadera laminada en alcobas;ceramicamadera
ceramicabaldosa;ceramicabaldosa
madera laminadaporcelanato;porcelanatomadera
ceramicay madera laminada;ceramicamadera
