,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
0,Código 1306437  / Intercontinental,"EN ARRIENDO $4,000,000",Apartamento en Arriendo Intercontinental Medellin ,Intercontinental,Porcelanato,2,90 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3,6,90 M2.,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0
1,Código 1306392  / Ciudad del Rio,"EN ARRIENDO $2,900,000",Apartamento en Arriendo Ciudad del Rio Medellin ,Ciudad del Rio,Ceramica,1,45 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil (),,1,6,55 M2.,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0
2,Código 1306388  / Ciudad del Rio,"EN ARRIENDO $3,650,000",Apartamento en Arriendo Ciudad del Rio Medellin ,Ciudad del Rio,Ceramicapiso de madera en la habitaciones,2,65 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil (),,2,6,85 M2.,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0
3,Código 1306377  / La Frontera,"EN ARRIENDO $3,300,000",Apartamento en Arriendo La Frontera Medellin ,La Frontera,Ceramica,"2
                                    La habitacion principal cuenta con uno de los baños y vestier",84 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),"Edificio serranilla 
503
30 años 
Portería 24 hrs 
Parquesito, manga para perros, salón social, parqueadero visitantes.
3 habitaciones 
2 baños 
1 vestier 
2 closets 
1 closet de linos 
Gas por red 
Ascensor 
Admin cuesta 650.000
Predial 2600 anual 
Venta 480 
Arriendo 3300
Balcon 
Buen registro árbol cerca y animales bonitos",3,5,84 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
4,Código 1306375  / El Campestre,"EN ARRIENDO $7,950,000",Apartamento en Arriendo El Campestre Medellin ,El Campestre,Porcelanato,"5
                                    3 cabinados en vidrio templado",240 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integralabierta con mesón en mármol,3 (lineales),,"3 + Alcoba de servicio
                                    2 closet, 1 vestier",5,240 M2.,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0
5,Código 1306338  / El Tesoro,"EN ARRIENDO $11,000,000",Apartamento en Arriendo El Tesoro Medellin ,El Tesoro,Marmol,"5
                                    CABINADOS EN VIDRIO TEMPLADO",365 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,IntegralABIERTA,3 + cuarto útil (),,"4
                                    CLOSET",6,365 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0
6,Código 1306325  / Intercontinental,"EN ARRIENDO $4,300,000",Apartamento en Arriendo Intercontinental Medellin ,Intercontinental,Porcelanato,2,90 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),,2,6,90 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0
7,Código 1306306  / Las Palmas,"EN ARRIENDO $1,800,000",Apartamento en Arriendo Las Palmas Medellin ,Las Palmas,Ceramica,1,50 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,0 (),,1,5,50 M2.,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
8,Código 1306303  / Loma del Indio,"EN ARRIENDO $3,100,000",Apartamento en Arriendo Loma del Indio Medellin ,Loma del Indio,Porcelanato,2,87 M2. aproximadamente,Medellin Zona 2 - El Poblado,26,Integral,1 + cuarto útil (),,3,4,87 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0
9,Código 1306293  / Intercontinental,"EN ARRIENDO $3,700,000",Apartamento en Arriendo Intercontinental Medellin ,Intercontinental,Porcelanato,2,74 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil (),,2,6,74 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0
10,Código 1306274  / Ciudad del Rio,"EN ARRIENDO $3,500,000",Apartamento en Arriendo Ciudad del Rio Medellin ,Ciudad del Rio,Ceramica,2,66 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil (),,2 + Alcoba de servicio,5,66 M2.,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0
11,Código 1306162  / Loma Los Gonzalez,"EN ARRIENDO $4,700,000",Apartamento en Arriendo Loma Los Gonzalez Medellin ,Loma Los Gonzalez,cerámica y madera laminada,3,99 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (doble paralelo),,3 + Alcoba de servicio,5,99 M2.,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0
12,Código 1306160  / San Lucas,"EN ARRIENDO $4,300,000",Apartamento en Arriendo San Lucas Medellin ,San Lucas,Madera laminada,2,75 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil (cubierto),,1,6,75 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0
