codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1339007  / Manrique,"EN ARRIENDO $980,000",Apartamento en Arriendo Manrique Medellin ,Manrique,Ceramica,1,55 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,2,3,55 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1337546  / Centro,"EN ARRIENDO $1,850,000",Apartamento en Arriendo Centro Medellin ,Centro,Ceramica,2,55 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,3,3,55 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
Código 1337629  / Aranjuez,"EN ARRIENDO $1,400,000",Apartamento en Arriendo Aranjuez Medellin ,Aranjuez,Ceramica,2,65 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,3,3,65 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1337560  / Barrio Palmas,"EN ARRIENDO $1,050,000",Apartamento en Arriendo Barrio Palmas Medellin ,Barrio Palmas,Ceramica,1,50 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,2,3,50 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1337415  / Centro,"EN ARRIENDO $1,400,000",Apartamento en Arriendo Centro Medellin ,Centro,Ceramica,2,70 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,0,70 M2.,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
Código 1337354  / Campo Valdes,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Campo Valdes Medellin ,Campo Valdes,Ceramica,2,74 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,74 M2.,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1337254  / Buenos Aires,"EN ARRIENDO $1,200,000",Apartamento en Arriendo Buenos Aires Medellin ,Buenos Aires,Baldosa comun,"2
                                    Cabinados en acrílico",60 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-IntegralCon red de gas,0 (),,"3
                                    Dos con closet",3,60 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1337126  / Manrique,"EN ARRIENDO $900,000",Apartamento en Arriendo Manrique Medellin ,Manrique,Ceramica,"1
                                    CABINADO",50 M2. aproximadamente,Medellin Zona 1 - Centro,1,Sencilla,0 (),,"2
                                    1 CLOSET",3,50 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1337112  / Boston,"EN ARRIENDO $2,200,000",Apartamento en Arriendo Boston Medellin ,Boston,Ceramica,2,110 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,1 + cuarto útil (),,3,0,110 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
Código 1337104  / Boston,"EN ARRIENDO $2,200,000",Apartamento en Arriendo Boston Medellin ,Boston,Ceramica,2,100 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 + cuarto útil (),,3 + Alcoba de servicio,0,100 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
Código 1337002  / Campo Valdes,"EN ARRIENDO $880,000",Apartamento en Arriendo Campo Valdes Medellin ,Campo Valdes,Ceramica,1,45 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,1,3,45 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1336912  / La Milagrosa,"EN ARRIENDO $1,300,000",Apartamento en Arriendo La Milagrosa Medellin ,La Milagrosa,Ceramica,2,63 M2. aproximadamente,Medellin Zona 1 - Centro,5,Semi-Integral,0 (PARA MOTOS),,3,3,63 M2.,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
